row_idx,AUC_P_Cell_death,AUC_P_Hepatocyte_injury,AUC_P_Inflammation
137,28628.058824691383,28466.629962028215,29215.53809943344
138,28628.02465086531,28466.62988173581,29215.53809943342
139,28628.024650862597,28466.62988173432,29215.538099433503
140,28628.024651040992,28486.265386028812,29215.53810025003
141,28628.024651040138,28486.265386036306,29215.538100249916
143,28628.024651765634,28743.34871534914,29215.53809650412
142,28628.02465104022,28486.265386036346,29215.538100249916
144,28628.024651796546,28743.34871524901,29215.538096592187
145,28628.024651856227,28743.348716162654,29215.538099816433
146,28628.032894195363,28743.34906639106,29215.538099815356
147,28749.22086946693,28754.752083138817,29299.795948837495
148,28749.220869466884,28754.752083138825,29299.79594883987
149,28737.824931758303,28754.75012638857,29299.795948680272
151,27555.067419616676,24873.898769910847,29299.795946485152
150,28737.824931902258,24903.97527486817,29299.795947516992
152,27555.070083423416,24873.903411280502,29299.795946484977
154,27690.573428253367,24879.154096657225,29330.27151354849
153,27555.070083800725,24873.90340954256,29299.795948898594
156,27690.662867248153,24879.392543089667,29330.271513119522
157,27743.643286923056,24879.397052561246,29330.271511719373
155,27690.66286724995,24879.392688146065,29330.271512998304
158,27743.643286390434,24876.45537698715,29330.271511826242
159,27700.05307248661,24873.222487665378,29315.602638909168
160,28972.428259367993,24873.561565620636,29315.602637686927
161,28972.42825942558,24873.56158199028,29534.482486796842
162,28972.428259128457,24873.561563322804,29534.482486809346
163,28972.428259128996,24873.561588528282,29534.482486819117
164,28972.428259055494,24873.56160006424,29534.482486809826
165,28972.428258936525,21359.58716387969,29534.482486787798
166,28972.428259400338,21359.58723250922,29534.48248682193
167,28972.42825967597,21359.587181742038,29548.18211650525
168,28971.46110781498,21359.58658070603,29548.182116647138
169,28983.64733187082,21366.560123015493,29548.18211652725
170,28983.64733187131,27933.840687691292,29548.182116456122
171,28983.647328429062,27933.840689846715,29548.182116332366
172,28983.64733064091,27933.840690866607,29548.18211649355
174,28980.555468125043,27933.835427558945,29548.182116472402
173,28980.555468125018,27933.835429812185,29548.18211648081
175,28980.555468124974,27933.83542755889,29548.182116470023
176,29003.333226700448,27938.208157869904,29576.22699368731
177,29120.21400907397,19995.079428901587,29585.507823814078
178,29120.21400458159,19995.07937030498,29585.50782379725
179,29120.214008465886,27097.05608801682,29585.507823830754
180,29120.214008121016,27097.05606860648,29585.507823560667
181,29120.214008121024,27097.056068174385,29585.50782356065
182,29120.214008121013,27097.056068268175,29585.507823560656
183,29120.214008072187,27097.056070441737,29585.507823556774
184,29120.214007671217,27110.935878117732,29585.507823553053
185,29120.214007671206,27110.935880455767,29585.507823553045
186,29120.248920290644,27110.954681097384,29585.50782382022
187,29120.24892029065,27110.95468110284,29585.507823810774
188,29120.24891865152,27123.509216028524,29585.50782379511
189,29120.248918657864,27119.419063247697,29585.50782379193
190,29120.248918657864,27119.419063250505,29585.507823791915
191,29120.2489186004,27119.419063689857,29585.50782378803
192,29141.520172689998,27122.601470981168,29605.50443800346
194,29137.844809680006,27122.59986654594,29605.504437845062
193,29137.863701710186,27122.601402601093,29605.504437843283
195,29137.844809680046,27122.59986762858,29605.504437851665
196,29137.851602389925,27122.603897895788,29605.504437848693
198,29137.851600552167,27347.63903859011,29423.071938272195
197,29137.851601360773,27347.639041498216,29605.504438074116
199,29137.851600551818,27347.63903571158,29423.071938204826
200,29137.851600552192,27347.639035680026,29423.07193824475
201,29137.851600607162,26881.01804878837,29423.071938195913
202,29116.76950313309,26878.786800586095,29407.824634214943
203,29116.76950313332,26878.786799960566,29407.82463423635
204,29116.76950313285,26878.78680146897,29407.824634228076
205,29116.7687325641,26878.786465174788,29407.824634210025
206,29119.8484562418,26878.786559014923,29407.82463504747
207,29119.84845646738,26816.93078725336,29407.82463504102
208,29119.848456214728,27093.08387093522,29407.82463448141
209,29119.848456214546,27093.08387197546,29407.824634485627
210,29120.58221120666,27093.083894774347,29407.82463449356
211,29120.582214332222,27093.0838936176,29407.824634505407
212,29128.996844718655,27093.084189554087,29407.824633984506
